index,x1_b,x1_t,x2_b,x2_t,x3_b,x3_t,x4_b,x4_t,x5_b,x5_t,x6_b,x6_t,x7_b,x7_t,x8_b,x8_t,x9_b,x9_t,x10_b,x10_t,_cons_b,_cons_t,nobs,ncoef,r2adj
24,,,,,,,0.0036979597,1.1697117,0.003427299,1.0823461,,,,,,,,,,,,,100000,3,5.570304013935434e-6
28,,,,,-0.0030395554,-0.95914245,0.0036985308,1.1698921,0.0034427645,1.0872154,,,,,,,,,,,,,100000,4,4.868563248883184e-6
8,,,,,,,0.003719841,1.1766572,,,,,,,,,,,,,,,100000,2,3.887821110160061e-6
25,0.0028152508,0.88785225,,,,,0.0036865417,1.1660899,0.0034208256,1.0802976,,,,,,,,,,,,,100000,4,3.4380088572705247e-6
12,,,,,-0.0030220211,-0.9536211,0.0037213808,1.1771437,,,,,,,,,,,,,,,100000,3,2.8880413531773286e-6
29,0.002828595,0.8920515,,,-0.0030520028,-0.9630598,0.0036875962,1.1664228,0.0034362697,1.0851604,,,,,,,,,,,,,100000,5,2.7958467798683273e-6
16,,,,,,,,,0.0034516002,1.0900416,,,,,,,,,,,,,100000,2,1.920848162639821e-6
9,0.0028234008,0.89042413,,,,,0.0037089698,1.1732079,,,,,,,,,,,,,,,100000,3,1.8151362889406997e-6
536,,,,,,,0.0036928547,1.1680923,0.00341012,1.076892,,,,,,,,,0.002445596,0.7708384,,,100000,4,1.5306030016759564e-6
13,0.002836329,0.89449227,,,-0.0030347933,-0.95764095,0.0037098275,1.1734788,,,,,,,,,,,,,,,100000,4,1.1133579708166863e-6
20,,,,,-0.0030386155,-0.95884424,,,0.0034671093,1.0949247,,,,,,,,,,,,,100000,3,1.099866246079273e-6
540,,,,,-0.0030433254,-0.96032876,0.0036937322,1.1683692,0.0034256328,1.0817763,,,,,,,,,0.0024507856,0.7724727,,,100000,5,6.49993732948495e-7
88,,,,,,,0.0037035162,1.1714628,0.0034358485,1.085035,,,0.0021664286,0.6848538,,,,,,,,,100000,4,3.9808077501035655e-7
520,,,,,,,0.003714789,1.1750541,,,,,,,,,,,0.0024693513,0.7783445,,,100000,3,-3.26446549792081e-8
280,,,,,,,0.0037017076,1.1708924,0.0034264713,1.0820814,,,,,,,-0.0020579982,-0.6499283,,,,,100000,4,-7.877068886052996e-8
17,0.0028303626,0.8926234,,,,,,,0.0034451722,1.0880077,,,,,,,,,,,,,100000,3,-1.5185632884495703e-7
92,,,,,-0.0030341726,-0.9574385,0.0037041744,1.1716703,0.0034511283,1.0898455,,,0.0021591329,0.6825452,,,,,,,,,100000,5,-5.421468487476488e-7
537,0.002812273,0.8869108,,,,,0.0036815119,1.1644938,0.0034034979,1.0747966,,,,,,,,,0.0024424207,0.7698362,,,100000,5,-5.421468487476488e-7
152,,,,,,,0.0037007027,1.1705749,0.0034321623,1.0838752,,,,,-0.0019298387,-0.6094164,,,,,,,100000,4,-6.748350187546492e-7
21,0.0028434182,0.8967319,,,-0.003051135,-0.9627843,,,0.0034606354,1.0928766,,,,,,,,,,,,,100000,4,-7.94047884777882e-7
4,,,,,-0.0030205455,-0.95315367,,,,,,,,,,,,,,,,,100000,2,-8.805981566162302e-7
284,,,,,-0.0030370785,-0.9583574,0.0037023753,1.171103,0.0034417412,1.0868891,,,,,,,-0.0020546822,-0.6488805,,,,,100000,5,-9.593960521581124e-7
524,,,,,-0.0030261364,-0.95491624,0.0037157042,1.1753432,,,,,,,,,,,0.0024748913,0.78008944,,,100000,4,-9.728671837017089e-7
541,0.0028254313,0.891051,,,-0.0030560342,-0.96432865,0.0036822786,1.1647358,0.0034191066,1.0797116,,,,,,,,,0.002447497,0.7714349,,,100000,6,-1.1843551521728557e-6
156,,,,,-0.003042413,-0.9600398,0.003701671,1.1708807,0.0034477918,1.0887963,,,,,-0.0019350061,-0.6110472,,,,,,,100000,5,-1.4362522848809789e-6
72,,,,,,,0.003725574,1.1784637,,,,,0.0021530192,0.68061936,,,,,,,,,100000,3,-1.4631847407020615e-6
89,0.0028143376,0.8875619,,,,,0.0036922456,1.1678873,0.003429283,1.0829573,,,0.002165162,0.68445253,,,,,,,,,100000,5,-1.7342874303327704e-6
264,,,,,,,0.0037237646,1.1778933,,,,,,,,,-0.0020598413,-0.6505099,,,,,100000,3,-1.8804255990101382e-6
528,,,,,,,,,0.0034339167,1.0844276,,,,,,,,,0.0024536771,0.773386,,,100000,3,-2.0592431098087616e-6
1,0.002838619,0.89522904,,,,,,,,,,,,,,,,,,,,,100000,2,-2.072702973254792e-6
281,0.0028226967,0.89019203,,,,,0.0036903834,1.1673,0.003419808,1.0799731,,,,,,,-0.0020681676,-0.65313494,,,,,100000,5,-2.0919296048749203e-6
521,0.002820109,0.8893836,,,,,0.0037032878,1.1714056,,,,,,,,,,,0.0024664737,0.7774365,,,100000,4,-2.1053894103673088e-6
136,,,,,,,0.0037226283,1.1775339,,,,,,,-0.0019211223,-0.6066654,,,,,,,100000,3,-2.4168781311839638e-6
76,,,,,-0.0030162998,-0.9518103,0.0037268084,1.1788539,,,,,0.0021454229,0.6782155,,,,,,,,,100000,4,-2.463028008437007e-6
56,,,,,,,0.0036932942,1.1682242,0.0034284047,1.0826905,0.0013574391,0.4282635,,,,,,,,,,,100000,4,-2.522634441337601e-6
93,0.002827371,0.89166266,,,-0.0030466216,-0.9613565,0.0036929345,1.1681046,0.0034447773,1.0878361,,,0.0021580486,0.6822016,,,,,,,,,100000,6,-2.5553305316172725e-6
5,0.0028517605,0.8993643,,,-0.0030328806,-0.9570359,,,,,,,,,,,,,,,,,100000,3,-2.714907315848336e-6
153,0.0028142566,0.88753575,,,,,0.0036893575,1.1669756,0.003425541,1.0817798,,,,,-0.0019286284,-0.60903364,,,,,,,100000,5,-2.8072139537371754e-6
525,0.0028334882,0.8935939,,,-0.0030388166,-0.9589071,0.0037044922,1.171786,,,,,,,,,,,0.0024717695,0.7791042,,,100000,5,-2.8072139537371754e-6
268,,,,,-0.0030195294,-0.9528315,0.003724778,1.1782134,,,,,,,,,-0.002056282,-0.6493853,,,,,100000,4,-2.880273039185255e-6
532,,,,,-0.0030423147,-0.9600082,,,0.0034495832,1.0893606,,,,,,,,,0.0024587724,0.7749905,,,100000,4,-2.880273039185255e-6
285,0.0028357094,0.89428616,,,-0.003049665,-0.9623189,0.0036910062,1.1674962,0.0034352771,1.0848439,,,,,,,-0.0020647994,-0.6520706,,,,,100000,6,-3.0321915329700744e-6
26,,,0.001074817,0.33927572,,,0.0037014096,1.170792,0.0034223157,1.0807556,,,,,,,,,,,,,100000,4,-3.1783052041323145e-6
