index,x1_b,x2_b,x3_b,x4_b,x5_b,x6_b,x7_b,x8_b,x9_b,x10_b,_cons_b,nobs,ncoef,F,r2adj
24,,,,0.0036979597,0.003427299,,,,,,0.49792323,100000,3,1.2785139,5.570304013935434e-6
28,,,-0.0030395554,0.0036985308,0.0034427645,,,,,,0.49943125,100000,4,1.1622846,4.868563248883184e-6
8,,,,0.003719841,,,,,,,0.49962372,100000,2,1.3887798,3.887821110160061e-6
25,0.0028152508,,,0.0036865417,0.0034208256,,,,,,0.49652067,100000,4,1.1145996,3.4380088572705247e-6
12,,,-0.0030220211,0.0037213808,,,,,,,0.50113016,100000,3,1.1444011,2.8880413531773286e-6
29,0.002828595,,-0.0030520028,0.0036875962,0.0034362697,,,,,,0.4980279,100000,5,1.0698957,2.7958467798683273e-6
16,,,,,0.0034516002,,,,,,0.49975973,100000,2,1.1920832,1.920848162639821e-6
9,0.0028234008,,,0.0037089698,,,,,,,0.49821392,100000,3,1.090756,1.8151362889406997e-6
536,,,,0.0036928547,0.00341012,,,,,0.002445596,0.4967121,100000,4,1.0510197,1.5306030016759564e-6
13,0.002836329,,-0.0030347933,0.0037098275,,,,,,,0.49972022,100000,4,1.0371116,1.1133579708166863e-6
20,,,-0.0030386155,,0.0034671093,,,,,,0.50126755,100000,3,1.0549928,1.099866246079273e-6
540,,,-0.0030433254,0.0036937322,0.0034256328,,,,,0.0024507856,0.4982192,100000,5,1.0162497,6.49993732948495e-7
88,,,,0.0037035162,0.0034358485,,0.0021664286,,,,0.49683145,100000,4,1.0132692,3.9808077501035655e-7
520,,,,0.003714789,,,,,,0.0024693513,0.49839196,100000,3,0.9983677,-3.26446549792081e-8
280,,,,0.0037017076,0.0034264713,,,,-0.0020579982,,0.4989507,100000,4,0.9973743,-7.877068886052996e-8
17,0.0028303626,,,,0.0034451722,,,,,,0.49834424,100000,3,0.99240726,-1.5185632884495703e-7
92,,,-0.0030341726,0.0037041744,0.0034511283,,0.0021591329,,,,0.49834046,100000,5,0.9864465,-5.421468487476488e-7
537,0.002812273,,,0.0036815119,0.0034034979,,,,,0.0024424207,0.49531257,100000,5,0.9864465,-5.421468487476488e-7
152,,,,0.0037007027,0.0034321623,,,-0.0019298387,,,0.4988835,100000,4,0.9775057,-6.748350187546492e-7
